timestamp,kp1_count,kp2_count,stereo_matches,triangulated_points,temporal_matches
1403636579763555584,786,786,1000,535,0
1403636579813555456,777,777,1000,491,361
1403636579863555584,773,773,1000,523,356
1403636579913555456,756,756,1000,461,328
1403636579963555584,735,735,1000,523,303
1403636580013555456,727,727,1000,443,311
1403636580063555584,720,720,1000,453,303
1403636580113555456,705,705,1000,561,355
1403636580163555584,705,705,1000,423,333
1403636580213555456,680,680,1000,388,277
1403636580263555584,671,671,1000,399,267
1403636580313555456,652,652,998,423,276
1403636580363555584,603,603,894,353,240
1403636580413555456,537,537,830,303,194
1403636580463555584,503,503,795,269,160
1403636580513555456,506,506,805,297,153
1403636580563555584,535,535,879,288,180
1403636580613555456,508,508,837,271,193
1403636580663555584,501,501,800,277,193
1403636580713555456,528,528,830,297,184
1403636580763555584,631,631,966,322,174
1403636580813555456,665,665,994,377,202
1403636580863555584,687,687,1000,390,227
1403636580913555456,727,727,1000,420,228
1403636580963555584,745,745,1000,457,258
1403636581013555456,758,758,1000,487,282
1403636581063555584,764,764,1000,511,302
1403636581113555456,766,766,1000,506,304
1403636581163555584,788,788,1000,528,324
1403636581213555456,812,812,1000,539,333
1403636581263555584,791,791,1000,501,316
1403636581313555456,813,813,1000,560,350
1403636581363555584,825,825,1000,589,427
1403636581413555456,823,823,1000,560,429
1403636581463555584,815,815,1000,540,409
1403636581513555456,806,806,1000,534,373
1403636581563555584,788,788,1000,651,385
1403636581613555456,787,787,1000,576,401
1403636581663555584,764,764,1000,490,348
1403636581713555456,788,788,1000,540,342
1403636581763555584,788,788,1000,496,362
1403636581813555456,778,778,1000,471,322
1403636581863555584,754,754,1000,490,319
1403636581913555456,718,718,1000,511,319
1403636581963555584,717,717,1000,429,287
1403636582013555456,700,700,1000,448,271
1403636582063555584,666,666,965,387,241
1403636582113555456,626,626,932,369,214
1403636582163555584,604,604,899,332,210
1403636582213555456,629,629,967,366,206
1403636582263555584,644,644,997,385,268
1403636582313555456,608,608,957,332,241
1403636582363555584,616,616,924,365,248
1403636582413555456,631,631,939,348,211
1403636582463555584,679,679,1000,371,198
1403636582513555456,711,711,1000,445,240
1403636582563555584,732,732,1000,403,262
1403636582613555456,733,733,1000,461,268
1403636582663555584,756,756,1000,491,315
1403636582713555456,775,775,1000,566,376
1403636582763555584,787,787,1000,485,333
1403636582813555456,788,788,1000,504,292
1403636582863555584,783,783,1000,524,297
1403636582913555456,795,795,1000,532,313
1403636582963555584,825,825,1000,591,338
1403636583013555456,839,839,1000,553,342
1403636583063555584,835,835,1000,550,362
1403636583113555456,837,837,1000,587,447
1403636583163555584,839,839,1000,579,447
1403636583213555456,852,852,1000,581,444
1403636583263555584,809,809,1000,536,412
1403636583313555456,818,818,1000,650,465
1403636583363555584,826,826,1000,597,463
1403636583413555456,807,807,1000,539,407
1403636583463555584,798,798,1000,528,339
1403636583513555456,791,791,1000,487,326
1403636583563555584,758,758,1000,453,284
1403636583613555456,762,762,1000,492,306
1403636583663555584,720,720,1000,447,274
1403636583713555456,712,712,1000,420,278
1403636583763555584,709,709,1000,382,221
1403636583813555456,669,669,952,383,227
1403636583863555584,650,650,940,369,228
1403636583913555456,628,628,898,430,253
1403636583963555584,567,567,862,338,256
1403636584013555456,590,590,886,349,229
1403636584063555584,614,614,958,345,227
1403636584113555456,607,607,923,330,223
1403636584163555584,587,587,912,353,237
1403636584213555456,593,593,891,324,241
1403636584263555584,618,618,914,351,220
1403636584313555456,678,678,966,375,234
1403636584363555584,695,695,1000,438,282
1403636584413555456,729,729,1000,455,283
1403636584463555584,726,726,1000,471,286
1403636584513555456,730,730,1000,468,299
1403636584563555584,735,735,1000,427,263
1403636584613555456,744,744,1000,477,262
1403636584663555584,770,770,1000,469,266
1403636584713555456,791,791,1000,458,261
1403636584763555584,808,808,1000,553,308
1403636584813555456,826,826,1000,541,334
1403636584863555584,831,831,1000,653,366
1403636584913555456,828,828,1000,588,428
1403636584963555584,849,849,1000,537,415
1403636585013555456,849,849,1000,589,415
1403636585063555584,850,850,1000,598,453
1403636585113555456,836,836,1000,524,409
1403636585163555584,843,843,1000,565,420
1403636585213555456,829,829,1000,503,366
1403636585263555584,832,832,1000,537,357
1403636585313555456,802,802,1000,546,390
1403636585363555584,801,801,1000,542,396
1403636585413555456,766,766,1000,512,356
1403636585463555584,789,789,1000,538,329
1403636585513555456,778,778,1000,517,338
1403636585563555584,759,759,1000,479,298
1403636585613555456,746,746,1000,467,274
1403636585663555584,717,717,1000,462,288
1403636585713555456,733,733,1000,448,275
1403636585763555584,714,714,1000,442,261
1403636585813555456,730,730,1000,421,266
1403636585863555584,748,748,1000,424,250
1403636585913555456,715,715,1000,410,248
1403636585963555584,707,707,1000,400,238
1403636586013555456,710,710,1000,408,243
1403636586063555584,708,708,1000,423,231
1403636586113555456,708,708,1000,419,235
1403636586163555584,701,701,1000,426,245
1403636586213555456,699,699,1000,380,239
1403636586263555584,646,646,966,341,215
1403636586313555456,612,612,921,324,183
1403636586363555584,574,574,877,302,187
1403636586413555456,531,531,840,249,154
1403636586463555584,535,535,844,273,147
1403636586513555456,550,550,887,303,180
1403636586563555584,614,614,942,358,209
1403636586613555456,645,645,1000,343,223
1403636586663555584,656,656,1000,397,252
1403636586713555456,666,666,1000,466,302
1403636586763555584,621,621,965,358,282
1403636586813555456,665,665,1000,349,236
1403636586863555584,674,674,1000,399,240
1403636586913555456,662,662,1000,384,272
1403636586963555584,685,685,1000,381,252
1403636587013555456,658,658,1000,394,263
1403636587063555584,676,676,1000,386,271
1403636587113555456,699,699,1000,418,274
1403636587163555584,683,683,1000,393,293
1403636587213555456,678,678,1000,384,283
1403636587263555584,651,651,1000,353,248
1403636587313555456,624,624,943,331,219
1403636587363555584,629,629,928,351,219
1403636587413555456,597,597,879,338,238
