timestamp,kp1_count,kp2_count,stereo_matches,triangulated_points,temporal_matches
1403636579763555584,1000,1000,514,351,0
1403636579813555456,1000,1000,521,360,273
1403636579863555584,1000,1000,553,386,260
1403636579913555456,1000,1000,578,377,296
1403636579963555584,1000,1000,543,389,291
1403636580013555456,1000,1000,544,388,288
1403636580063555584,1000,1000,504,369,300
1403636580113555456,1000,1000,472,328,285
1403636580163555584,1000,1000,447,303,234
1403636580213555456,1000,1000,443,283,223
1403636580263555584,1000,1000,407,267,207
1403636580313555456,1000,1000,374,259,208
1403636580363555584,1000,1000,318,209,198
1403636580413555456,1000,1000,220,147,143
1403636580463555584,1000,1000,146,89,81
1403636580513555456,1000,1000,105,54,53
1403636580563555584,1000,1000,92,56,35
1403636580613555456,1000,1000,126,73,41
1403636580663555584,1000,1000,183,106,43
1403636580713555456,1000,1000,247,144,70
1403636580763555584,1000,1000,297,187,83
1403636580813555456,1000,1000,344,209,107
1403636580863555584,1000,1000,449,305,127
1403636580913555456,1000,1000,504,407,228
1403636580963555584,1000,1000,522,348,315
1403636581013555456,1000,1000,508,342,251
1403636581063555584,1000,1000,553,380,267
1403636581113555456,1000,1000,571,403,271
1403636581163555584,1000,1000,577,382,302
1403636581213555456,1000,1000,597,402,296
1403636581263555584,1000,1000,604,427,298
1403636581313555456,1000,1000,634,423,331
1403636581363555584,1000,1000,593,437,328
1403636581413555456,1000,1000,588,390,291
1403636581463555584,1000,1000,610,427,277
1403636581513555456,1000,1000,584,390,319
1403636581563555584,1000,1000,580,379,263
1403636581613555456,1000,1000,568,414,282
1403636581663555584,1000,1000,501,337,299
1403636581713555456,1000,1000,588,400,209
1403636581763555584,1000,1000,568,409,315
1403636581813555456,1000,1000,565,439,315
1403636581863555584,1000,1000,557,369,314
1403636581913555456,1000,1000,535,359,270
1403636581963555584,1000,1000,485,344,257
1403636582013555456,1000,1000,448,318,243
1403636582063555584,1000,1000,398,269,213
1403636582113555456,1000,1000,305,198,156
1403636582163555584,1000,1000,237,141,125
1403636582213555456,1000,1000,151,84,89
1403636582263555584,1000,1000,161,87,61
1403636582313555456,1000,1000,202,136,66
1403636582363555584,1000,1000,258,153,105
1403636582413555456,1000,1000,314,215,103
1403636582463555584,1000,1000,374,248,146
1403636582513555456,1000,1000,433,279,172
1403636582563555584,1000,1000,485,350,212
1403636582613555456,1000,1000,521,368,253
1403636582663555584,1000,1000,517,363,286
1403636582713555456,1000,1000,520,357,267
1403636582763555584,1000,1000,541,375,271
1403636582813555456,1000,1000,538,369,273
1403636582863555584,1000,1000,579,426,288
1403636582913555456,1000,1000,600,421,313
1403636582963555584,1000,1000,594,412,321
1403636583013555456,1000,1000,649,425,320
1403636583063555584,1000,1000,603,409,277
1403636583113555456,1000,1000,584,419,324
1403636583163555584,1000,1000,582,428,332
1403636583213555456,1000,1000,568,373,308
1403636583263555584,1000,1000,550,349,251
1403636583313555456,1000,1000,537,358,245
1403636583363555584,1000,1000,622,423,200
1403636583413555456,1000,1000,604,431,315
1403636583463555584,1000,1000,588,423,313
1403636583513555456,1000,1000,553,367,298
1403636583563555584,1000,1000,560,409,273
1403636583613555456,1000,1000,524,355,279
1403636583663555584,1000,1000,521,347,246
1403636583713555456,1000,1000,484,305,235
1403636583763555584,1000,1000,417,290,209
1403636583813555456,1000,1000,353,248,194
1403636583863555584,1000,1000,286,197,148
1403636583913555456,1000,1000,220,151,121
1403636583963555584,1000,1000,188,122,103
1403636584013555456,1000,1000,165,89,80
1403636584063555584,1000,1000,152,80,72
1403636584113555456,1000,1000,161,89,60
1403636584163555584,1000,1000,176,102,66
1403636584213555456,1000,1000,200,117,69
1403636584263555584,1000,1000,257,163,90
1403636584313555456,1000,1000,293,198,114
1403636584363555584,1000,1000,313,211,130
1403636584413555456,1000,1000,367,234,149
1403636584463555584,1000,1000,411,286,160
1403636584513555456,1000,1000,462,299,188
1403636584563555584,1000,1000,501,348,206
1403636584613555456,1000,1000,495,349,259
1403636584663555584,1000,1000,571,421,259
1403636584713555456,1000,1000,586,410,305
1403636584763555584,1000,1000,609,410,301
1403636584813555456,1000,1000,610,426,314
1403636584863555584,1000,1000,583,389,299
1403636584913555456,1000,1000,583,394,289
1403636584963555584,1000,1000,605,385,286
1403636585013555456,1000,1000,577,396,252
1403636585063555584,1000,1000,558,371,299
1403636585113555456,1000,1000,565,398,280
1403636585163555584,1000,1000,514,330,271
1403636585213555456,1000,1000,497,317,234
1403636585263555584,1000,1000,493,340,232
1403636585313555456,1000,1000,499,320,199
1403636585363555584,1000,1000,498,319,216
1403636585413555456,1000,1000,499,326,223
1403636585463555584,1000,1000,540,388,240
1403636585513555456,1000,1000,490,313,284
1403636585563555584,1000,1000,518,326,216
1403636585613555456,1000,1000,494,346,245
1403636585663555584,1000,1000,506,339,256
1403636585713555456,1000,1000,463,341,233
1403636585763555584,1000,1000,394,278,239
1403636585813555456,1000,1000,354,251,190
1403636585863555584,1000,1000,285,174,155
1403636585913555456,1000,1000,264,160,119
1403636585963555584,1000,1000,229,137,105
1403636586013555456,1000,1000,203,123,92
1403636586063555584,1000,1000,201,133,81
1403636586113555456,1000,1000,191,108,86
1403636586163555584,1000,1000,181,103,76
1403636586213555456,1000,1000,180,100,78
1403636586263555584,1000,1000,178,98,65
1403636586313555456,1000,1000,197,104,66
1403636586363555584,1000,1000,166,94,64
1403636586413555456,1000,1000,168,89,62
1403636586463555584,1000,1000,162,84,54
1403636586513555456,1000,1000,151,89,53
1403636586563555584,1000,1000,141,80,60
